FraudID	Stkcd	DisposalDate	DisposalYear
1	7	2014/8/26	2014
2	9	2002/7/17	2002
3	10	2010/6/24	2010
4	12	2017/12/20	2017
5	13	2001/7/3	2001
6	19	2000/6/28	2000
7	20	2004/6/10	2004
8	21	2001/12/19	2001
9	26	2001/10/31	2001
10	33	2014/8/26	2014
11	34	2007/8/30	2007
12	35	2002/4/5	2002
13	40	2012/12/17	2012
14	43	2001/10/31	2001
15	55	2006/6/28	2006
16	66	2001/12/19	2001
17	68	2002/7/2	2002
18	70	2001/7/3	2001
19	78	2002/7/2	2002
20	99	2001/7/3	2001
21	150	2006/3/1	2006
22	155	2001/7/3	2001
23	156	2002/3/28	2002
24	301	2005/9/6	2005
25	400	2001/10/31	2001
26	403	2002/5/31	2002
27	404	2001/7/3	2001
28	407	2012/2/7	2012
29	408	2001/10/31	2001
30	409	2010/12/7	2010
31	410	2002/7/17	2002
32	412	2002/5/31	2002
33	416	2009/8/4	2009
34	418	2006/9/19	2006
35	420	2002/5/31	2002
36	421	2010/3/19	2010
37	422	2001/12/11	2001
38	430	2001/8/3	2001
39	498	2010/1/6	2010
40	503	2003/4/25	2003
41	504	2014/2/11	2014
42	509	2005/6/8	2005
43	510	2001/11/9	2001
44	511	2015/7/31	2015
45	514	2003/9/16	2003
46	521	2002/7/2	2002
47	525	2001/10/31	2001
48	526	2001/10/31	2001
49	527	2002/7/17	2002
50	529	2007/5/25	2007
51	533	2001/10/9	2001
52	535	2000/6/16	2000
53	537	2003/4/25	2003
54	541	2012/10/9	2012
55	542	2002/7/17	2002
56	546	2012/8/8	2012
57	547	2002/7/17	2002
58	549	2006/11/28	2006
60	555	2003/3/5	2003
61	557	2002/4/23	2002
62	559	2001/12/4	2001
63	561	2005/12/30	2005
64	566	2001/7/3	2001
65	567	2002/2/28	2002
66	569	2004/7/13	2004
67	570	2001/10/31	2001
68	572	2012/9/7	2012
69	573	2001/9/13	2001
70	578	2009/8/27	2009
71	582	2011/1/10	2011
72	583	2001/10/31	2001
